Interval,Niveau,Distance,Tid,Tidsinterval,Hastighed,Kondital,,,,
0,1-1,0,0.00,9.000000,8.00,10.90,,,,
1,1-2,20,9.00,9.000000,,11.40,,,,
2,1-3,40,18.00,9.000000,,12.00,,,,
3,1-4,60,27.00,9.000000,,12.50,,,,
4,1-5,80,36.00,9.000000,,13.00,,,,
5,1-6,100,45.00,9.000000,,13.50,,,,
6,1-7,120,54.00,9.000000,,14.00,,,,
7,2-1,140,63.00,8.470588,8.50,14.50,,,,
8,2-2,160,71.47,8.470588,,15.00,,,,
9,2-3,180,79.94,8.470588,,15.50,,,,
10,2-4,200,88.41,8.470588,,16.00,,,,
11,2-5,220,96.88,8.470588,,16.50,,,,
12,2-6,240,105.35,8.470588,,16.90,,,,
13,2-7,260,113.82,8.470588,,17.40,,,,
14,2-8,280,122.29,8.470588,,17.90,,,,
15,3-1,300,130.76,8.000000,9.00,18.40,,,,
16,3-2,320,138.76,8.000000,,18.80,,,,
17,3-3,340,146.76,8.000000,,19.30,,,,
18,3-4,360,154.76,8.000000,,19.80,,,,
19,3-5,380,162.76,8.000000,,20.20,,,,
20,3-6,400,170.76,8.000000,,20.70,,,,
21,3-7,420,178.76,8.000000,,21.10,,,,
22,3-8,440,186.76,8.000000,,21.60,,,,
23,4-1,460,194.76,7.578947,9.50,22.00,,,0,10.9
24,4-2,480,202.34,7.578947,,22.50,,,447.37,36.5
25,4-3,500,209.92,7.578947,,22.90,,,,
26,4-4,520,217.50,7.578947,,23.30,,,,
27,4-5,540,225.08,7.578947,,23.80,,,,
28,4-6,560,232.66,7.578947,,24.20,,,,
29,4-7,580,240.24,7.578947,,24.60,,,,
30,4-8,600,247.82,7.578947,,25.10,,,,
31,5-1,620,255.40,7.200000,10.00,25.50,,,,
32,5-2,640,262.60,7.200000,,25.90,,,,
33,5-3,660,269.80,7.200000,,26.30,,,,
34,5-4,680,277.00,7.200000,,26.70,,,,
35,5-5,700,284.20,7.200000,,27.20,,,,
36,5-6,720,291.40,7.200000,,27.60,,,,
37,5-7,740,298.60,7.200000,,28.00,,,,
38,5-8,760,305.80,7.200000,,28.40,,,,
39,5-9,780,313.00,7.200000,,28.80,,,,
40,6-1,800,320.20,6.857143,10.50,29.20,,,,
41,6-2,820,327.05,6.857143,,29.60,,,,
42,6-3,840,333.91,6.857143,,30.00,,,,
43,6-4,860,340.77,6.857143,,30.40,,,,
44,6-5,880,347.62,6.857143,,30.80,,,,
45,6-6,900,354.48,6.857143,,31.20,,,,
46,6-7,920,361.34,6.857143,,31.60,,,,
47,6-8,940,368.20,6.857143,,32.00,,,,
48,6-9,960,375.05,6.857143,,32.40,,,,
49,7-1,980,381.91,6.545455,11.00,32.80,,,,
50,7-2,1000,388.46,6.545455,,33.10,,,,
51,7-3,1020,395.00,6.545455,,33.50,,,,
52,7-4,1040,401.55,6.545455,,33.90,,,,
53,7-5,1060,408.09,6.545455,,34.30,,,,
54,7-6,1080,414.64,6.545455,,34.60,,,,
55,7-7,1100,421.18,6.545455,,35.00,,,,
56,7-8,1120,427.73,6.545455,,35.40,,,,
57,7-9,1140,434.27,6.545455,,35.70,,,,
58,7-10,1160,440.82,6.545455,,36.10,,,,
59,8-1,1180,447.37,6.260870,11.50,36.50,,,,
60,8-2,1200,453.63,6.260870,,36.90,,,,
61,8-3,1220,459.89,6.260870,,37.20,,,,
62,8-4,1240,466.15,6.260870,,37.60,,,,
63,8-5,1260,472.41,6.260870,,37.90,,,,
64,8-6,1280,478.67,6.260870,,38.30,,,,
65,8-7,1300,484.93,6.260870,,38.70,,,,
66,8-8,1320,491.19,6.260870,,39.00,,,,
67,8-9,1340,497.45,6.260870,,39.40,,,,
68,8-10,1360,503.71,6.260870,,39.70,,,,
69,9-1,1380,509.97,6.000000,12.00,40.10,,,,
70,9-2,1400,515.97,6.000000,,40.40,,,,
71,9-3,1420,521.97,6.000000,,40.80,,,,
72,9-4,1440,527.97,6.000000,,41.10,,,,
73,9-5,1460,533.97,6.000000,,41.50,,,,
74,9-6,1480,539.97,6.000000,,41.80,,,,
75,9-7,1500,545.97,6.000000,,42.10,,,,
76,9-8,1520,551.97,6.000000,,42.50,,,,
77,9-9,1540,557.97,6.000000,,42.80,,,,
78,9-10,1560,563.97,6.000000,,43.20,,,,
79,9-11,1580,569.97,6.000000,,43.50,,,,
80,10-1,1600,575.97,5.760000,12.50,43.90,,,,
81,10-2,1620,581.73,5.760000,,44.20,,,,
82,10-3,1640,587.49,5.760000,,44.50,,,,
83,10-4,1660,593.25,5.760000,,44.90,,,,
84,10-5,1680,599.01,5.760000,,45.20,,,,
85,10-6,1700,604.77,5.760000,,45.50,,,,
86,10-7,1720,610.53,5.760000,,45.80,,,,
87,10-8,1740,616.29,5.760000,,46.20,,,,
88,10-9,1760,622.05,5.760000,,46.50,,,,
89,10-10,1780,627.81,5.760000,,46.80,,,,
90,10-11,1800,633.57,5.760000,,47.20,,,,
91,11-1,1820,639.33,5.538462,13.00,47.50,,,,
