Øvelsesnummer,URL på hjemmeside,URL på youtube
Kort intro,,https://youtu.be/X-sIpkffZ_0
Lang intro,,https://youtu.be/sztUCBT3jc8
Figur 1.13,,https://youtu.be/kRtGn_l18YY
,,
11. Tæmninger,,https://youtu.be/DmN1n-yoXao
11. Indersideafleveringer,,https://youtu.be/z1SUUC86OqY
11. Halvliggende vristspark,,https://youtu.be/O53KROe_jM8
11. Finter,,https://youtu.be/LiOTyz1dkns
11.A3,,https://youtu.be/LHYXIvFv_2I
11.A7,,https://youtu.be/yY7rsSjRz6E
11.A9,,https://youtu.be/BujqHc4pGdE
11.A10,,https://youtu.be/9ByMeUUfCbQ
11.A11,,https://youtu.be/xU89GasCzhw
11.A12,,https://youtu.be/THVQKtaqiE8
11.A13,,https://youtu.be/a-eSCdM8Lzg
11.A14,,https://youtu.be/NJwsUK5MNhQ
11.A15,,https://youtu.be/Ur9nBDO0o50
11.A16,,https://youtu.be/eN6Q4wrszog
11.A17,,https://youtu.be/X5FM1z4XPWM
11.B1,,https://youtu.be/hVFKEqD8V9w
11.B2,,https://youtu.be/sjN_hTN6NMI
11.B5,,https://youtu.be/Bv3oFEdDprI
11.B7,,https://youtu.be/U85cUCkIDkc
11.B8,,https://youtu.be/d9xBmAVjRug
11.B9,,https://youtu.be/oxgRL6Sa5oo
11.B11,,https://youtu.be/gRMXYA0EoRM
11.C4,,https://youtu.be/y_ggaxuwzZ4
11.C5,,https://youtu.be/jU-OMnWX5i8
11.C6,,https://youtu.be/2-ELleaR6_s
11.C7,,https://youtu.be/5LvjxyBlU3c
11.C12,,https://youtu.be/89oms0sWR1A
11.D4,,https://youtu.be/KVhaJ_eThbU
,,
12. Driblinger,,https://youtu.be/3H8CknOsiKI
12. Afleveringer,,https://youtu.be/Fg2cp3bBMNo
12. Skud,,https://youtu.be/x9DG8OJcpBk
12. Lay up,,https://youtu.be/lnUmijG3dX0
12.A9,,https://youtu.be/_koMKTvYEYU
12.B2,,https://youtu.be/50xBQRNKC3k
12.B4,,https://youtu.be/DQAYV7xzh4I
12.B5,,https://youtu.be/xAJ_GDZa5S4
12.B10,,https://youtu.be/Wb1ai4wwvF0
12.C1,,https://youtu.be/v0yRbxRyOF0
12.C2,,https://youtu.be/DDyjj7ZMeWs
