Øvelsesnummer,URL på youtube, URL på hjemmeside
Kort intro,https://youtu.be/X-sIpkffZ_0,http://yubio.dk/booklinks.html?id=Kort_intro
Lang intro,https://youtu.be/sztUCBT3jc8,http://yubio.dk/booklinks.html?id=Lang_intro
Figur 1.13,https://youtu.be/kRtGn_l18YY,http://yubio.dk/booklinks.html?id=Figur_1_13
Figur 7.4 (bip),http://yubio.dk/bip/index.html,http://yubio.dk/booklinks.html?id=Figur_7_4_(bip)
Figur 9.56,https://www.youtube.com/watch?v=dCVlRFWOjgE,http://yubio.dk/booklinks.html?id=Figur_9_56
Figur 9.57-1,https://www.youtube.com/watch?v=HoQ72lHYAg0,http://yubio.dk/booklinks.html?id=Figur_9_57-1
Figur 9.57-2,https://www.youtube.com/watch?v=dCVlRFWOjgE,http://yubio.dk/booklinks.html?id=Figur_9_57-2
Figur 9.57-3,https://www.youtube.com/watch?v=6J_A281XvZU,http://yubio.dk/booklinks.html?id=Figur_9_57-3
Figur 9.57-4,https://www.youtube.com/watch?v=Fsi6OoJH04Y,http://yubio.dk/booklinks.html?id=Figur_9_57-4
Figur 9.57-5,https://www.youtube.com/watch?v=LygeWbXvdIE,http://yubio.dk/booklinks.html?id=Figur_9_57-5
Figur 9.57-6,https://www.youtube.com/watch?v=4kr-oidwlQc,http://yubio.dk/booklinks.html?id=Figur_9_57-6
Figur 9.58,https://www.youtube.com/watch?v=C4GLhcbayn8,http://yubio.dk/booklinks.html?id=Figur_9_58
Figur 9.71,https://www.youtube.com/watch?v=GcAbJPDMBFg,http://yubio.dk/booklinks.html?id=Figur_9_71
Figur 9.73,https://www.youtube.com/watch?v=qFjke_ahBYY,http://yubio.dk/booklinks.html?id=Figur_9_73
11. Tæmninger,https://youtu.be/DmN1n-yoXao,http://yubio.dk/booklinks.html?id=11__Taemninger
11. Indersideafleveringer,https://youtu.be/z1SUUC86OqY,http://yubio.dk/booklinks.html?id=11__Indersideafleveringer
11. Halvliggende vristspark,https://youtu.be/O53KROe_jM8,http://yubio.dk/booklinks.html?id=11__Halvliggende_vristspark
11. Finter,https://youtu.be/LiOTyz1dkns,http://yubio.dk/booklinks.html?id=11__Finter
11.A3,https://youtu.be/LHYXIvFv_2I,http://yubio.dk/booklinks.html?id=11_A3
11.A7,https://youtu.be/yY7rsSjRz6E,http://yubio.dk/booklinks.html?id=11_A7
11.A9,https://youtu.be/BujqHc4pGdE,http://yubio.dk/booklinks.html?id=11_A9
11.A10,https://youtu.be/9ByMeUUfCbQ,http://yubio.dk/booklinks.html?id=11_A10
11.A11,https://youtu.be/xU89GasCzhw,http://yubio.dk/booklinks.html?id=11_A11
