Interval,Niveau,Distance,Tid,Tidsinterval,Hastighed,Kondital
0,,meter,sek,(sek ml. bip),(km/t),ml ilt/min/kg
1,1-1,20,9.0,9.00,8.00,10.90
2,1-2,40,18.0,9.00,,11.40
3,1-3,60,27.0,9.00,,12.00
4,1-4,80,36.0,9.00,,12.50
5,1-5,100,45.0,9.00,,13.00
6,1-6,120,54.0,9.00,,13.50
7,1-7,140,63.0,9.00,,14.00
8,2-1,160,71.5,8.47,8.50,14.50
9,2-2,180,79.9,8.47,,15.00
10,2-3,200,88.4,8.47,,15.50
11,2-4,220,96.9,8.47,,16.00
12,2-5,240,105.4,8.47,,16.50
13,2-6,260,113.8,8.47,,16.90
14,2-7,280,122.3,8.47,,17.40
15,2-8,300,130.8,8.47,,17.90
16,3-1,320,138.8,8.00,9.00,18.40
17,3-2,340,146.8,8.00,,18.80
18,3-3,360,154.8,8.00,,19.30
19,3-4,380,162.8,8.00,,19.80
20,3-5,400,170.8,8.00,,20.20
21,3-6,420,178.8,8.00,,20.70
22,3-7,440,186.8,8.00,,21.10
23,3-8,460,194.8,8.00,,21.60
24,4-1,480,202.3,7.58,9.50,22.10
25,4-2,500,209.9,7.58,,22.50
26,4-3,520,217.5,7.58,,22.90
27,4-4,540,225.1,7.58,,23.30
28,4-5,560,232.7,7.58,,23.80
29,4-6,580,240.2,7.58,,24.20
30,4-7,600,247.8,7.58,,24.60
31,4-8,620,255.4,7.58,,25.10
32,5-1,640,262.6,7.20,10.00,25.50
33,5-2,660,269.8,7.20,,25.90
34,5-3,680,277.0,7.20,,26.30
35,5-4,700,284.2,7.20,,26.70
36,5-5,720,291.4,7.20,,27.20
37,5-6,740,298.6,7.20,,27.60
38,5-7,760,305.8,7.20,,28.00
39,5-8,780,313.0,7.20,,28.40
40,5-9,800,320.2,7.20,,28.80
41,6-1,820,327.1,6.86,10.50,29.20
42,6-2,840,333.9,6.86,,29.60
43,6-3,860,340.8,6.86,,30.00
44,6-4,880,347.6,6.86,,30.40
45,6-5,900,354.5,6.86,,30.80
46,6-6,920,361.4,6.86,,31.20
47,6-7,940,368.2,6.86,,31.60
48,6-8,960,375.1,6.86,,32.00
49,6-9,980,381.9,6.86,,32.40
50,7-1,1000,388.6,6.66,11.00,32.70
51,7-2,1020,394.9,6.66,,33.10
52,7-3,1040,401.1,6.66,,33.50
53,7-4,1060,407.4,6.66,,33.90
54,7-5,1080,413.6,6.66,,34.30
55,7-6,1100,419.9,6.66,,34.60
56,7-7,1120,426.2,6.66,,35.00
57,7-8,1140,432.4,6.66,,35.40
58,7-9,1160,438.7,6.66,,35.70
59,7-10,1180,444.9,6.66,,36.10
60,8-1,1200,451.2,6.26,11.50,36.50
61,8-2,1220,457.2,6.26,,36.90
62,8-3,1240,463.2,6.26,,37.20
63,8-4,1260,469.2,6.26,,37.60
64,8-5,1280,475.2,6.26,,37.90
65,8-6,1300,481.2,6.26,,38.30
66,8-7,1320,487.2,6.26,,38.70
67,8-8,1340,493.2,6.26,,39.00
68,8-9,1360,499.2,6.26,,39.40
69,8-10,1380,505.2,6.26,11.50,39.70
70,9-1,1400,511.2,6.00,12.00,40.10
71,9-2,1420,517.2,6.00,,40.40
72,9-3,1440,523.0,6.00,,40.80
73,9-4,1460,528.7,6.00,,41.10
74,9-5,1480,534.5,6.00,,41.50
75,9-6,1500,540.2,6.00,,41.80
76,9-7,1520,546.0,6.00,,42.10
77,9-8,1540,551.8,6.00,,42.50
78,9-9,1560,557.5,6.00,,42.80
79,9-10,1580,563.3,6.00,,43.20
80,9-11,1600,569.0,6.00,,43.50
81,10-1,1620,574.8,5.76,12.50,43.90
82,10-2,1640,580.6,5.76,,44.20
83,10-3,1660,586.1,5.76,,44.50
84,10-4,1680,591.6,5.76,,44.90
85,10-5,1700,597.2,5.76,,45.20
86,10-6,1720,602.7,5.76,,45.50
87,10-7,1740,608.3,5.76,,45.80
88,10-8,1760,613.8,5.76,,46.20
89,10-9,1780,619.3,5.76,,46.50
90,10-10,1800,624.9,5.76,,46.80
91,10-11,1820,630.4,5.76,,47.20
92,11-1,1840,636.0,5.54,13.00,47.50
93,11-2,1860,641.5,5.54,,47.80
94,11-3,1880,646.8,5.54,,48.10
95,11-4,1900,652.2,5.54,,48.40
96,11-5,1920,657.5,5.54,,48.80
97,11-6,1940,662.8,5.54,,49.10
98,11-7,1960,668.2,5.54,,49.40
99,11-8,1980,673.5,5.54,,49.70
100,11-9,2000,678.8,5.54,,50.00
101,11-10,2020,684.1,5.54,13.00,50.30
