Allerød Gymnasium 201007, Rådhusvej 6, 3450 Allerød, tlf. 4817 7555, e-mail allerodgymnasium@allgym.dk
Alssundgymnasiet Sønderborg 537011, Grundtvigs Allé 86, 6400 Sønderborg, tlf. 7442 0501, e-mail ags@ags.dk
Aurehøj Gymnasium 157027, Skolevej 7, 2820 Gentofte, tlf. 3965 4545, e-mail aurehoej-gym@skolekom.dk
Birkerød Gymnasium HF IB & Kostskole 205007, Søndervangen 56, Postboks 220, 3460 Birkerød, tlf. 4516 8220, e-mail mail@birke-gym.dk
Bjerringbro Gymnasium 761009, P.E. Eriksens Vej 2, 8850 Bjerringbro, tlf. 8668 3600, e-mail epost@bggym.dk
Borupgaard Gymnasium 151023, Lautruphøj 9, 2750 Ballerup, tlf. 4465 6622, e-mail boag@boag.nu
Brønderslev Gymnasium og HF 805013, Islands Allé 20, 9700 Brønderslev, tlf. 9882 2722, e-mail post@brslev-gym.dk
Campus Bornholm - STX 400022, Søborgstræde 2, 3700 Rønne, tlf. 5695 0628, e-mail post@cabh.dk
Christianshavns Gymnasium 101118, Prinsessegade 35, 1422 København K, tlf. 4329 0300, e-mail chrgym@cg-gym.dk
CPH WEST, Ishøj Gymnasium (stx) 183007, Vejlebrovej 45, 2635 Ishøj, tlf. 3388 0000, e-mail cphwest@cphwest.dk
Dronninglund Gymnasium 807010, Søndervangsvej 1, 9330 Dronninglund, tlf. 9884 3044, e-mail dg@drlund-gym.dk
Duborg-Skolen 961001, Postboks 380, 6330 Padborg, e-mail duborg-skolen@skoleforeningen.de
Egedal Gymnasium & HF 235005, Gymnasievej 1, 3660 Stenløse, tlf. 4718 3300, e-mail post@egedalgym.dk
Egå Gymnasium 751110, Mejlbyvej 4, 8250 Egå, tlf. 8912 4262, e-mail mail@egaa-gym.dk
Esbjerg Gymnasium og HF Kursus 561027, Spangsbjerg Møllevej 310, 6705 Esbjerg Ø, tlf. 7514 1300, e-mail esbjerg.gymnasium@egnet.dk
Espergærde Gymnasium og HF 217017, Gymnasievej 2, 3060 Espergærde, tlf. 4917 6016, e-mail eg@eg-gym.dk
Falkonergårdens Gymnasium og HF-Kursus 147024, Sønderjyllands Allé 25, 2000 Frederiksberg, tlf. 3877 0800, e-mail falkonergaarden@falko.dk
Favrskov Gymnasium 709006, Ellemosevej 30, 8370 Hadsten, tlf. 8761 2400, e-mail gymnasiet@favrskov-gym.dk
Fjerritslev Gymnasium 811009, Skovbrynet 9, 9690 Fjerritslev, tlf. 9650 5100, e-mail fg@fjerritslev-gym.dk
Fredericia Gymnasium 607019, Nørrebrogade 88, 7000 Fredericia, tlf. 7592 0688, e-mail adm@fredericia-gym.dk
Frederiksberg Gymnasium 147025, Falkoner Plads 2, 2000 Frederiksberg, tlf. 3832 0410, e-mail mail@frederiksberggymnasium.dk
Frederiksberg HF-Kursus 147037, Sønderjyllands Allé 2, 2000 Frederiksberg, tlf. 3877 3800, e-mail fhf@frberg-hf.dk
Frederiksborg Gymnasium og HF 219012, Carlsbergvej 15, 3400 Hillerød, tlf. 4820 1040, e-mail pku@frborg-gymhf.dk
Frederikshavn Gymnasium og HF-Kursus 813012, Kærvej 1, 9900 Frederikshavn, tlf. 9842 4433, e-mail kontakt@frhavn-gym.dk
Frederikssund Gymnasium 209006, Odinsvej 6, Postboks 150, 3600 Frederikssund, tlf. 4731 3011, e-mail frsgym@frsgym.dk
Frederiksværk Gymnasium og HF 211010, Strandgade 34, 3300 Frederiksværk, tlf. 4772 5210, e-mail post@fvgh.dk
Faaborg Gymnasium 431013, Sundagervej 42, 5600 Faaborg, tlf. 6261 8910, e-mail post@faaborg-gym.dk
Gammel Hellerup Gymnasium 157029, Svanemøllevej 87, 2900 Hellerup, tlf. 4511 5151, e-mail adm@ghg.dk
Gefion Gymnasium 101624, Øster Voldgade 10, 1350 København K, tlf. 3396 4141, e-mail info@gefion-gym.dk
Gentofte HF 157028, Dahlensstræde 5, 2820 Gentofte, tlf. 3965 1103, e-mail ghf@ghf.dk
Gladsaxe Gymnasium 159028, Buddinge Hovedgade 81, 2860 Søborg, tlf. 3956 3162, e-mail post@gladgym.dk
Grenaa Gymnasium 707008, N.P. Josiassensvej 21, 8500 Grenaa, tlf. 8758 4050, e-mail gg@grenaa-gym.dk
Greve Gymnasium 253010, Rådhusholmen 12, 2670 Greve, tlf. 4397 2000, e-mail greve-gym@greve-gym.dk
Gribskov Gymnasium 215010, Østergade 52, 3200 Helsinge, tlf. 4879 8410, e-mail post@gribskovgymnasium.dk
Grindsted Gymnasium & HF 565013, Tinghusgade 20, Postboks 39, 7200 Grindsted, tlf. 7532 3100, e-mail grindstedgym@grindstedgym.dk
Haderslev Katedralskole 515017, Christiansfeldvej 31, 6100 Haderslev, tlf. 7452 2721, e-mail adm@haderslev-gym.dk
Hasseris Gymnasium 851062, Hasserisvej 300, 9000 Aalborg, tlf. 9632 7110, e-mail hg@hasseris-gym.dk
Helsingør Gymnasium 217019, Borgmester P. Christensensvej 3, 3000 Helsingør, tlf. 4922 4100, e-mail post@hels-gym.dk
Herlev Gymnasium og HF 163010, Højsletten 39, 2730 Herlev, tlf. 4494 6343, e-mail hg@herlev-gym.dk
Herning Gymnasium 657030, H.P.Hansens Vej 8, 7400 Herning, tlf. 9722 1066, e-mail post@herning-gym.dk
HF-Centret Efterslægten 101247, Hyrdevangen 62, 2400 København Nv, tlf. 3396 4000, e-mail kontor@hfc.dk
Fyns HF-kursus, Ærø 492003, P.E. Pålsonsvej 1, 5960 Marstal, tlf. 6265 6590, e-mail aeroe@vucfyn.dk
Fyns HF-Kursus 461048, Hunderupvej 17 Postboks 1219, 5100 Odense C, tlf. 6265 6580, e-mail fynshf@vucfyn.dk
